global_step,value
20100,0.245677
20150,0.251022
20200,0.238726
20250,0.310007
20300,0.269794
20350,0.276088
20400,0.227747
20450,0.257773
20500,0.249194
20550,0.178521
20600,0.297082
20650,0.281123
20700,0.340537
20750,0.320714
20800,0.419705
20850,0.347848
20900,0.303895
20950,0.368271
21000,0.298814
21050,0.333663
21100,0.318891
21150,0.264502
21200,0.209886
21250,0.273248
21300,0.223412
21350,0.395635
21400,0.331937
21450,0.300295
21500,0.317801
21550,0.355087
21600,0.379701
21650,0.424008
21700,0.25629
21750,0.266835
21800,0.269613
21850,0.328185
21900,0.231992
21950,0.259614
22000,0.23337
22050,0.710719
22100,0.596514
22150,0.521099
22200,0.501836
22250,0.405186
22300,0.362316
22350,0.388804
22400,0.309184
22450,0.318906
22500,0.312996
22550,0.330469
22600,0.332713
22650,0.343564
22700,0.338888
22750,0.26001
22800,0.372291
22850,0.348069
22900,0.314331
22950,0.256271
23000,0.303396
23050,0.302474
23100,0.291309
23150,0.26183
23200,0.265042
23250,0.260564
23300,0.233893
23350,0.229395
23400,0.277489
23450,0.226449
23500,0.243182
23550,0.256222
23600,0.272454
23650,0.310945
23700,0.344076
23750,0.244789
23800,0.346711
23850,0.308226
23900,0.359782
23950,0.418358
24000,0.350587
24050,0.37403
24100,0.3542
24150,0.310148
24200,0.292975
24250,0.274561
24300,0.261387
24350,0.212591
24400,0.209245
24450,0.231852
24500,0.153091
24550,0.134909
24600,0.140188
24650,0.203192
24700,0.259266
24750,0.275663
24800,0.430702
24850,0.358053
24900,0.323941
24950,0.358817
25000,0.326168
25050,0.401003
25100,0.313228
25150,0.425958
25200,0.427075
25250,0.292605
25300,0.279853
25350,0.323245
25400,0.330911
25450,0.260195
25500,0.28538
25550,0.269291
25600,0.240259
25650,0.209213
25700,0.267407
25750,0.280005
25800,0.260709
25850,0.301232
25900,0.244228
25950,0.324359
26000,0.273815
26050,0.267905
26100,0.353462
26150,0.297274
26200,0.222958
26250,0.26913
26300,0.296898
26350,0.287801
26400,0.307002
26450,0.433072
26500,0.338133
26550,0.288681
26600,0.32461
26650,0.244527
26700,0.286888
26750,0.204802
26800,0.255764
26850,0.273742
26900,0.298623
26950,0.291396
27000,0.275421
27050,0.396772
27100,0.447506
27150,0.3499
27200,0.422135
27250,0.275062
27300,0.383961
27350,0.338642
27400,0.333894
27450,0.241348
27500,0.226718
27550,0.267067
27600,0.257863
27650,0.197016
27700,0.206934
27750,0.168731
27800,0.23506
27850,0.221475
27900,0.255204
27950,0.545493
28000,0.451004
28050,0.278708
28100,0.233467
28150,0.326604
28200,0.27651
28250,0.268947
28300,0.369221
28350,0.340745
28400,0.305593
28450,0.284156
28500,0.278528
28550,0.262151
28600,0.353494
28650,0.234913
28700,0.202517
28750,0.288091
28800,0.252238
28850,0.265026
28900,0.324717
28950,0.270636
29000,0.58398
29050,0.549717
29100,0.566343
29150,0.522875
29200,0.445193
29250,0.559201
29300,0.507714
29350,0.719267
29400,0.674671
29450,0.626478
29500,0.574154
29550,0.481453
29600,0.45032
29650,0.467034
29700,0.230215
29750,0.249343
29800,0.166326
29850,0.186754
29900,0.247038
29950,0.244668
30000,0.272385
30050,0.247512
30100,0.329039
30150,0.312488
30200,0.292944
30250,0.289992
30300,0.282137
30350,0.276906
30400,0.278269
30450,0.268784
30500,0.257442
30550,0.233674
30600,0.432995
30650,0.264127
30700,0.248467
30750,0.246842
30800,0.236694
30850,0.211516
30900,0.242612
30950,0.308916
31000,0.274849
31050,0.261008
31100,0.316703
31150,0.303327
31200,0.273703
31250,0.23887
31300,0.244139
31350,0.237968
31400,0.276982
31450,0.250258
31500,0.597958
31550,0.422402
31600,0.38585
31650,0.372176
31700,0.30762
31750,0.328532
31800,0.227808
31850,0.220003
31900,0.212459
31950,0.244347
32000,0.472848
32050,0.436719
32100,0.352098
32150,0.364808
32200,0.415661
32250,0.406116
32300,0.364375
32350,0.307186
32400,0.317457
32450,0.328949
32500,0.35118
32550,0.294742
32600,0.363642
32650,0.358336
32700,0.272993
32750,0.233329
32800,0.212484
32850,0.231101
32900,0.211005
32950,0.184364
33000,0.195906
33050,0.164483
33100,0.232611
33150,0.204086
33200,0.269592
33250,0.236397
33300,0.423161
33350,0.421058
33400,0.393648
33450,0.396991
33500,0.402743
33550,0.385716
33600,0.374574
33650,0.354337
33700,0.342341
33750,0.25419
33800,0.215754
33850,0.213656
33900,0.21563
33950,0.168295
34000,0.183432
34050,0.221033
34100,0.153101
34150,0.258187
34200,0.301866
34250,0.258327
34300,0.369092
34350,0.335385
34400,0.308792
34450,0.324319
34500,0.296472
34550,0.294544
34600,0.236217
34650,0.290819
34700,0.251491
34750,0.316993
34800,0.256816
34850,0.22031
34900,0.205465
34950,0.172127
35000,0.165745
35050,0.219101
35100,0.148088
35150,0.234406
35200,0.248101
35250,0.494829
35300,0.279414
35350,0.254372
35400,0.213518
35450,0.297749
35500,0.232114
35550,0.83956
35600,0.737283
35650,0.620155
35700,0.630215
35750,0.60537
35800,0.493532
35850,0.512616
35900,0.412175
35950,0.416652
36000,0.304834
36050,0.277945
36100,0.320593
36150,0.312327
36200,0.366207
36250,0.382229
36300,0.342151
36350,0.309771
36400,0.340496
36450,0.39872
36500,0.380754
36550,0.356145
36600,0.296301
36650,0.314056
36700,0.241886
36750,0.290582
36800,0.28965
36850,0.273523
36900,0.267639
36950,0.336124
37000,0.280838
37050,0.198553
37100,0.203559
37150,0.212283
37200,0.198306
37250,0.2434
37300,0.242012
37350,0.236607
37400,0.274728
37450,0.320989
37500,0.29655
37550,0.421368
37600,0.365294
37650,0.423368
37700,0.384767
37750,0.35627
37800,0.359514
37850,0.317734
37900,0.206891
37950,0.233454
38000,0.208928
38050,0.391434
38100,0.301176
38150,0.268608
38200,0.272534
38250,0.297272
38300,0.293663
38350,0.320569
38400,0.313971
38450,0.295264
38500,0.296699
38550,0.31423
38600,0.310941
38650,0.292701
38700,0.374563
38750,0.357025
38800,0.347067
38850,0.3648
38900,0.307103
38950,0.261649
39000,0.297977
39050,0.255122
39100,0.264926
39150,0.268109
39200,0.225538
39250,0.192285
39300,0.246735
39350,0.264957
39400,0.293832
39450,0.244559
39500,0.268533
39550,0.325302
39600,0.412254
39650,0.373055
39700,0.341481
39750,0.37006
39800,0.316195
39850,0.355012
39900,0.38613
39950,0.344002
40000,0.31483
40050,0.297238
40100,0.280699
40150,0.269117
40200,1.283416
40250,0.591511
40300,0.244723
40350,0.286683
40400,0.265101
40450,0.345888
40500,0.402731
40550,0.33525
40600,0.32516
40650,0.353268
40700,0.257772
40750,0.280609
40800,0.310615
40850,0.389344
40900,0.271712
40950,0.306599
41000,0.271936
41050,0.252243
41100,0.243887
41150,0.196646
41200,0.238512
41250,0.173156
41300,0.179453
41350,0.21957
41400,0.215973
41450,0.201455
41500,0.204468
41550,0.289847
41600,0.241623
41650,0.333908
41700,0.308411
41750,0.307919
41800,0.308157
41850,0.295049
41900,0.371102
41950,0.28978
42000,0.233901
42050,0.305719
42100,0.244271
42150,0.217419
42200,0.236973
42250,0.189052
42300,0.171048
42350,0.153324
42400,0.258977
42450,0.267463
42500,0.264401
42550,0.245853
42600,0.263578
42650,0.289914
42700,0.352078
42750,0.323516
42800,0.341318
42850,0.376398
42900,0.275747
42950,0.374073
43000,0.330113
43050,0.34343
43100,0.287845
43150,0.715935
43200,0.381633
43250,0.400781
43300,0.330451
43350,0.305885
43400,0.192668
43450,0.262718
43500,0.298787
43550,0.348875
43600,0.357403
43650,0.345356
43700,0.378014
43750,0.428021
43800,0.469518
43850,0.456427
43900,0.576598
43950,0.708393
44000,0.690858
44050,0.607875
44100,0.64373
44150,0.616642
44200,0.511484
44250,0.336002
44300,0.346842
44350,0.324285
44400,0.252223
44450,0.166427
44500,0.160213
44550,0.199507
44600,0.2145
44650,0.218051
44700,0.32332
44750,0.282612
44800,0.329264
44850,0.346983
44900,0.29828
44950,0.294061
45000,0.371887
45050,0.622329
45100,0.475735
45150,0.55148
45200,0.443896
45250,0.432642
45300,0.381942
45350,0.223764
45400,0.213227
45450,0.192294
45500,0.186696
45550,0.15191
45600,0.166576
45650,0.184951
45700,0.245805
45750,0.238142
45800,0.228713
45850,0.278496
45900,0.271692
45950,0.288619
46000,0.44093
46050,0.323577
46100,0.420908
46150,0.382678
46200,0.350169
46250,0.318094
46300,0.311462
46350,0.335099
46400,0.390569
46450,0.309955
46500,0.238273
46550,0.225726
46600,0.156084
46650,0.183518
46700,0.23042
46750,0.220566
46800,0.269908
46850,0.292615
46900,0.290215
46950,0.256956
47000,0.276722
47050,0.2866
47100,0.258024
47150,0.260434
47200,0.320588
47250,0.524783
47300,0.318957
47350,0.245501
47400,0.277381
47450,0.238517
47500,0.185218
47550,0.143167
47600,0.22106
47650,0.217277
47700,0.221908
47750,0.266936
47800,0.275469
47850,0.247963
47900,0.57129
47950,0.510507
48000,0.538853
48050,0.519879
48100,0.508067
48150,0.693519
48200,0.555523
48250,0.381832
48300,0.38088
48350,0.267675
48400,0.256308
48450,0.240068
48500,0.256052
48550,0.191449
48600,0.189038
48650,0.170504
48700,0.203274
48750,0.218065
48800,0.189046
48850,0.213993
48900,0.187423
48950,0.254422
49000,0.254993
49050,0.276383
49100,0.358739
49150,0.323286
49200,0.294145
49250,0.312048
49300,0.313211
49350,0.267765
49400,0.318262
49450,0.236591
49500,0.247202
50,0.381445
100,0.355911
