global_step,value
50,1.72741
100,1.7136120499999998
150,1.6858135474999998
200,1.6518187701249998
250,1.6207211316187498
300,1.580594175037812
350,1.5403523662859213
400,1.5002068979716252
450,1.462742703073044
500,1.4335503679193917
550,1.398053299523422
600,1.386497034547251
650,1.3657645328198884
700,1.3480932561788939
750,1.322048393369949
800,1.2985369737014514
850,1.2743505250163787
900,1.2431445487655597
950,1.2126208713272817
1000,1.1793886277609176
1050,1.1485334463728716
1100,1.114713724054228
1150,1.0808962378515166
1200,1.0518141759589408
1250,1.0196604171609935
1300,0.9914490463029438
1350,0.9587798939877965
1400,0.9249903992884067
1450,0.8977369293239863
1500,0.8720591828577869
1550,0.8437094237148975
1600,0.8203524525291527
1650,0.796436979902695
1700,0.7754136309075603
1750,0.7528964493621823
1800,0.7352360268940731
1850,0.7330660755493694
1900,0.731469271771901
1950,0.725094558183306
2000,0.7224981802741407
2050,0.7154444712604336
2100,0.714394947697412
2150,0.7129910003125414
2200,0.7024707002969143
2250,0.6817186652820685
2300,0.662587432017965
2350,0.6432414604170668
2400,0.6263415873962134
2450,0.6072975080264027
2500,0.5896646826250825
2550,0.5790390484938284
2600,0.5660580960691369
2650,0.5526389912656801
2700,0.545028441702396
2750,0.5354180196172762
2800,0.5258971186364123
2850,0.5186338127045916
2900,0.5124543720693621
2950,0.5085223534658939
3000,0.5084088357925992
3050,0.5035406940029692
3100,0.5001122593028207
3150,0.49335924633767964
3200,0.4907695840207956
3250,0.4836491048197558
3300,0.476149849578768
3350,0.4664929570998296
3400,0.45493020924483807
3450,0.4477243987825962
3500,0.44602697884346637
3550,0.442887579901293
3600,0.44076605090622833
3650,0.4409563483609169
3700,0.4411279809428711
3750,0.44007463189572754
3800,0.43902270030094115
3850,0.43715706528589404
3900,0.4337857620215993
3950,0.4310538239205193
4000,0.4283412327244933
4050,0.42593427108826865
4100,0.4227629075338552
4150,0.42126691215716244
4200,0.42085666654930426
4250,0.43679878322183907
4300,0.44443734406074714
4350,0.4500233268577098
4400,0.4536035105148243
4450,0.450803784989083
4500,0.44407084573962885
4550,0.4327781034526474
4600,0.42273829828001497
4650,0.4150282333660142
4700,0.40766557169771345
4750,0.40136594311282775
4800,0.40337469595718634
4850,0.404483661159327
4900,0.4098876781013606
4950,0.4124759441962926
5000,0.4116669969864779
5050,0.407497897137154
5100,0.4056917022802963
5150,0.40257886716628144
5200,0.4166150738079673
5250,0.42652037011756894
5300,0.4318023516116905
5350,0.43419818403110594
5400,0.4362764748295506
5450,0.4314868010880731
5500,0.42759616103366943
5550,0.42144900298198595
5600,0.41802265283288664
5650,0.4106709701912423
5700,0.4009038216816802
5750,0.39393523059759616
5800,0.3887420190677163
5850,0.3855569681143305
5900,0.3838812697086139
5950,0.3828805562231832
6000,0.378639078412024
6050,0.37715552449142276
6100,0.3758880982668516
6150,0.37618984335350897
6200,0.3811335011858335
6250,0.3854737261265418
6300,0.3868707398202147
6350,0.3879145028292039
6400,0.3868224776877437
6450,0.3847998038033565
6500,0.3841358136131886
6550,0.37718747293252913
6600,0.3733839492859026
6650,0.36661980182160747
6700,0.36030856173052705
6750,0.35640448364400074
6800,0.3519792094618007
6850,0.35265294898871064
6900,0.3518192015392751
6950,0.35031369146231134
7000,0.3495685068891958
7050,0.350534281544736
7100,0.35134761746749915
7150,0.3492021865941242
7200,0.363787577264418
7250,0.3719021484011971
7300,0.37998334098113723
7350,0.38910247393208036
7400,0.39634250023547635
7450,0.3998594252237025
7500,0.40082150396251737
7550,0.4004236787643915
7600,0.3931760448261719
7650,0.38906594258486327
7700,0.38002724545562006
7750,0.372030733182839
7800,0.36635339652369703
7850,0.36277447669751217
7900,0.3599201528626365
7950,0.35935554521950464
8000,0.3594068679585294
8050,0.3615469745606029
8100,0.36045972583257274
8150,0.3615292395409441
8200,0.3598792775638969
8250,0.3628734136857021
8300,0.36610259300141695
8350,0.3774410133513461
8400,0.38000271268377883
8450,0.3814383770495899
8500,0.3785982581971104
8550,0.37449629528725487
8600,0.3704939305228921
8650,0.36554543399674744
8700,0.36266251229691004
8750,0.3563513866820645
8800,0.3502968673479613
8850,0.3424216739805632
8900,0.33595829028153507
8950,0.3309798757674583
9000,0.32768993197908536
9050,0.32510793538013105
9100,0.3213582386111245
9150,0.31762892668056825
9200,0.3185058803465398
9250,0.3150540363292128
9300,0.3112266345127521
9350,0.3079802527871145
9400,0.3054990901477588
9450,0.3125586856403708
9500,0.3195005013583523
9550,0.3241248762904346
9600,0.3243504324759129
9650,0.32006531085211726
9700,0.31938514530951134
9750,0.31539783804403576
9800,0.31291464614183395
9850,0.30829341383474224
9900,0.3059005431430051
9950,0.3037599659858548
10000,0.30117811768656205
10050,0.29944941180223394
10100,0.30027469121212225
10150,0.3163899066515161
10200,0.3272549613189403
10250,0.33530081325299327
10300,0.3434542725903436
10350,0.3471470089608264
10400,0.35037010851278505
10450,0.3585094030871458
10500,0.3599990329327885
10550,0.3590166312861491
10600,0.3592356497218416
10650,0.35360886723574947
10700,0.349645223873962
10750,0.3428356126802639
10800,0.3401354320462507
10850,0.3340661604439381
10900,0.32779605242174115
10950,0.3255948998006541
11000,0.3226163548106214
11050,0.3179191870700903
11100,0.3173339777165858
11150,0.31703122883075646
11200,0.3160677173892186
11250,0.3145448815197577
11300,0.3151793874437698
11350,0.3116967180715813
11400,0.3097980821680022
11450,0.3059415780596021
11500,0.319027299156622
11550,0.33290083419879085
11600,0.3385537424888513
11650,0.3444796053644087
11700,0.3530655750961882
11750,0.35275774634137874
11800,0.3495787590243098
11850,0.34562602107309426
11900,0.3382730700194395
11950,0.33563601651846753
12000,0.3316801656925441
12050,0.3291308574079169
12100,0.326908514537521
12150,0.3230109388106449
12200,0.32062124187011265
12250,0.323323829776607
12300,0.31961848828777667
12350,0.31698156387338783
12400,0.3118809356797184
12450,0.30673428889573245
12500,0.30537657445094585
12550,0.30482109572839855
12600,0.3107277909419786
12650,0.31878530139487965
12700,0.3202150863251356
12750,0.3206189820088788
12800,0.32239673290843485
12850,0.33167889626301306
12900,0.33549980144986236
12950,0.33362581137736924
13000,0.3322075708085008
13050,0.3309021922680757
13100,0.33276923265467195
13150,0.33460272102193833
13200,0.34114468497084144
13250,0.33945835072229935
13300,0.3399140331861844
13350,0.34027108152687513
13400,0.33834562745053137
13450,0.3375538460780048
13500,0.3387488037741046
13550,0.33792701358539934
13600,0.3348560129061294
13650,0.33321696226082287
13700,0.33077611414778174
13750,0.32673070844039265
13800,0.322376173018373
13850,0.31602796436745434
13900,0.3110846161490816
13950,0.3111085853416275
14000,0.31254705607454614
14050,0.3091783532708188
14100,0.3100243856072778
14150,0.3099346663269139
14200,0.3098914330105682
14250,0.3114366113600398
14300,0.31517188079203784
14350,0.31988938675243594
14400,0.3219651174148141
14450,0.3199852115440734
14500,0.3190409509668697
14550,0.3185430034185262
14600,0.3204139032475999
14650,0.32367055808521983
14700,0.3215110801809588
14750,0.3216775261719108
14800,0.31778614986331527
14850,0.3196253923701495
14900,0.321680422751642
14950,0.3234008016140599
15000,0.32214221153335687
15050,0.317469200956689
15100,0.31326544090885455
15150,0.31138001886341177
15200,0.3104287179202412
15250,0.3130131820242291
15300,0.3160832229230176
15350,0.31521206177686667
15400,0.31713040868802334
15450,0.31562153825362216
15500,0.31545511134094106
15550,0.31649725577389404
15600,0.36467749298519936
15650,0.39596051833593937
15700,0.4211109424191424
15750,0.44399554529818525
15800,0.4570804180332759
15850,0.4704862971316121
15900,0.47822528227503147
15950,0.4661228181612799
16000,0.4596148272532159
16050,0.44893943589055507
16100,0.4374662640960273
16150,0.42408435089122587
16200,0.4125803833466646
16250,0.41230511417933136
16300,0.41150650847036474
16350,0.41019553304684647
16400,0.4088330563945041
16450,0.4148937535747789
16500,0.41334271589604
16550,0.41075833010123797
16600,0.408702863596176
16650,0.4069763704163672
16700,0.40144045189554883
16750,0.39931302930077134
16800,0.39825467783573276
16850,0.3920563439439461
16900,0.3880592767467488
16950,0.3843162129094113
17000,0.37878130226394074
17050,0.3722630371507437
17100,0.36304883529320653
17150,0.36135279352854616
17200,0.3566822538521188
17250,0.3513977411595129
17300,0.3485298541015372
17350,0.3437942613964603
17400,0.3420972483266373
17450,0.3429527859103054
17500,0.3552421966147902
17550,0.36584103678405067
17600,0.37935588494484807
17650,0.38874174069760564
17700,0.39698715366272536
17750,0.3949699959795891
17800,0.39411479618060963
17850,0.3934497063715791
17900,0.39331687105300017
17950,0.3892193275003501
18000,0.38158746112533254
18050,0.37393833806906585
18100,0.36683887116561253
